index,low,high,Open,close,volume,supply,eth_daily_tx,google_trend,market_cap,btc_open,btc_high,btc_low,btc_close,btc_volume,eth_rolling_beta,eth_return,btc_return
low,1.0,0.9999092486996746,0.9999394611077902,0.9999532989171627,0.03592733382571996,0.702859443284151,0.7785234034131631,0.5976544331265058,0.9996785046096104,0.8674045408495246,0.8676281414924275,0.8671475229846586,0.8673874785296924,-0.0019973192805440598,0.2138850183657512,-0.0037615669441155635,-0.008938303382107621
high,0.9999092486996746,1.0,0.9999613316993544,0.9999603534381017,0.04372402461284096,0.7025483378884174,0.7792946838246768,0.6020608763443142,0.9996249774457637,0.8671097942893664,0.8673687093113039,0.8667939645336195,0.8670821743711619,0.004551810639252162,0.21471519610534,-0.004328563774236553,-0.009843356903678222
Open,0.9999394611077902,0.9999613316993544,1.0,0.9999287746708174,0.04046588265300448,0.702670173386069,0.778947320327487,0.6000476559106105,0.9996204414680513,0.8672525018276842,0.8674728436237847,0.8669332734405126,0.86719098038349,0.0019209996238927487,0.2143329096469019,-0.008537205107491355,-0.013182952643716236
close,0.9999532989171627,0.9999603534381017,0.9999287746708174,1.0,0.04005257773240926,0.7026780073161478,0.7789456484748755,0.6000934184057125,0.9996899140651236,0.8672397024514047,0.8674949827739741,0.8669640486629401,0.867249891882012,0.0014310393715755182,0.21427454534910612,-0.0003084277200920799,-0.00621713641519008
volume,0.03592733382571996,0.04372402461284096,0.04046588265300448,0.04005257773240926,1.0,0.12568379860887946,0.15996199284261456,0.38753053754579936,0.03821768676528391,-9.161712650741332e-06,0.001839268095122936,-0.002716974672570702,-0.00040859089652631663,0.7573611848315215,0.119489768708373,-0.018921882905249425,-0.05558852607197851
supply,0.702859443284151,0.7025483378884174,0.702670173386069,0.7026780073161478,0.12568379860887946,1.0,0.8729530900405502,0.38428326302665056,0.7089807781884315,0.6261938840081162,0.6264527973951532,0.6259468419710609,0.6262013190105032,0.1088733696387769,0.466828151912626,-0.00518524977365347,-0.008647460324659233
eth_daily_tx,0.7785234034131631,0.7792946838246768,0.778947320327487,0.7789456484748755,0.15996199284261456,0.8729530900405502,1.0,0.5508207489251836,0.7777572506436065,0.7676609561082435,0.7680768241223311,0.7671504435902163,0.7676334928906793,0.12045670089491671,0.4255469476049607,-0.004750751970565002,-0.011329336537875831
google_trend,0.5976544331265058,0.6020608763443142,0.6000476559106105,0.6000934184057125,0.38753053754579936,0.38428326302665056,0.5508207489251836,1.0,0.591480389157836,0.4351477144184503,0.4363887697979268,0.43363321802343247,0.4351023060670662,0.26321955952244136,0.14006182705351355,0.0055768156239946465,-0.007882540217384982
market_cap,0.9996785046096104,0.9996249774457637,0.9996204414680513,0.9996899140651236,0.03821768676528391,0.7089807781884315,0.7777572506436065,0.591480389157836,1.0,0.8675670083292799,0.8678086988779735,0.8673080068359613,0.8675772695707149,-0.0006152016223747318,0.21445894972895105,-0.0004961566406681744,-0.006191979503806489
btc_open,0.8674045408495246,0.8671097942893664,0.8672525018276842,0.8672397024514047,-9.161712650741332e-06,0.6261938840081162,0.7676609561082435,0.4351477144184503,0.8675670083292799,1.0,0.9999818268482141,0.99997535678055,0.9999694261446682,-0.06368661573666409,0.24725762811260404,-0.0045105543203104665,-0.008908088437243876
btc_high,0.8676281414924275,0.8673687093113039,0.8674728436237847,0.8674949827739741,0.001839268095122936,0.6264527973951532,0.7680768241223311,0.4363887697979268,0.8678086988779735,0.9999818268482141,1.0,0.9999599687147998,0.9999822825655311,-0.0614069517226128,0.24708999173927063,-0.0023104839557818056,-0.006109855274205504
btc_low,0.8671475229846586,0.8667939645336195,0.8669332734405126,0.8669640486629401,-0.002716974672570702,0.6259468419710609,0.7671504435902163,0.43363321802343247,0.8673080068359613,0.99997535678055,0.9999599687147998,1.0,0.9999799361488692,-0.06661592168917005,0.2473545128439207,-0.0018885504849568413,-0.005738486767535971
btc_close,0.8673874785296924,0.8670821743711619,0.86719098038349,0.867249891882012,-0.00040859089652631663,0.6262013190105032,0.7676334928906793,0.4351023060670662,0.8675772695707149,0.9999694261446682,0.9999822825655311,0.9999799361488692,1.0,-0.06388691534443783,0.24717761786217515,-0.00010838917057801262,-0.0034249960864726836
btc_volume,-0.0019973192805440598,0.004551810639252162,0.0019209996238927487,0.0014310393715755182,0.7573611848315215,0.1088733696387769,0.12045670089491671,0.26321955952244136,-0.0006152016223747318,-0.06368661573666409,-0.0614069517226128,-0.06661592168917005,-0.06388691534443783,1.0,-0.014162374955023578,-0.04709365092936706,-0.03873544385892036
eth_rolling_beta,0.2138850183657512,0.21471519610534,0.2143329096469019,0.21427454534910612,0.119489768708373,0.466828151912626,0.4255469476049607,0.14006182705351355,0.21445894972895105,0.24725762811260404,0.24708999173927063,0.2473545128439207,0.24717761786217515,-0.014162374955023578,1.0,-0.01132701934385725,-0.020132457580644633
eth_return,-0.0037615669441155635,-0.004328563774236553,-0.008537205107491355,-0.0003084277200920799,-0.018921882905249425,-0.00518524977365347,-0.004750751970565002,0.0055768156239946465,-0.0004961566406681744,-0.0045105543203104665,-0.0023104839557818056,-0.0018885504849568413,-0.00010838917057801262,-0.04709365092936706,-0.01132701934385725,1.0,0.7143644130420572
btc_return,-0.008938303382107621,-0.009843356903678222,-0.013182952643716236,-0.00621713641519008,-0.05558852607197851,-0.008647460324659233,-0.011329336537875831,-0.007882540217384982,-0.006191979503806489,-0.008908088437243876,-0.006109855274205504,-0.005738486767535971,-0.0034249960864726836,-0.03873544385892036,-0.020132457580644633,0.7143644130420572,1.0
