index,low,high,Open,close,volume,supply,eth_daily_tx,market_cap,btc_open,btc_high,btc_low,btc_close,btc_volume,eth_return,btc_return
low,1.0,0.9999092486996746,0.9999394611077902,0.9999532989171627,0.03592733382571996,,0.7785234034131631,0.9999532989171724,0.8674045408495246,0.8676281414924275,0.8671475229846586,0.8673874785296924,-0.0019973192805440598,-0.0037615669441155635,-0.008938303382107621
high,0.9999092486996746,1.0,0.9999613316993544,0.9999603534381017,0.04372402461284096,,0.7792946838246768,0.9999603534381052,0.8671097942893664,0.8673687093113039,0.8667939645336195,0.8670821743711619,0.004551810639252162,-0.004328563774236553,-0.009843356903678222
Open,0.9999394611077902,0.9999613316993544,1.0,0.9999287746708174,0.04046588265300448,,0.778947320327487,0.9999287746708121,0.8672525018276842,0.8674728436237847,0.8669332734405126,0.86719098038349,0.0019209996238927487,-0.008537205107491355,-0.013182952643716236
close,0.9999532989171627,0.9999603534381017,0.9999287746708174,1.0,0.04005257773240926,,0.7789456484748755,1.0000000000000149,0.8672397024514047,0.8674949827739741,0.8669640486629401,0.867249891882012,0.0014310393715755182,-0.0003084277200920799,-0.00621713641519008
volume,0.03592733382571996,0.04372402461284096,0.04046588265300448,0.04005257773240926,1.0,,0.15996199284261456,0.040052577732411124,-9.161712650741332e-06,0.001839268095122936,-0.002716974672570702,-0.00040859089652631663,0.7573611848315215,-0.018921882905249425,-0.05558852607197851
supply,,,,,,,,,,,,,,,
eth_daily_tx,0.7785234034131631,0.7792946838246768,0.778947320327487,0.7789456484748755,0.15996199284261456,,1.0,0.7789456484748826,0.7676609561082435,0.7680768241223311,0.7671504435902163,0.7676334928906793,0.12045670089491671,-0.004750751970565002,-0.011329336537875831
market_cap,0.9999532989171724,0.9999603534381052,0.9999287746708121,1.0000000000000149,0.040052577732411124,,0.7789456484748826,1.0,0.8672397024514064,0.8674949827739717,0.866964048662933,0.8672498918820122,0.001431039371575173,-0.0003084277200920992,-0.006217136415189997
btc_open,0.8674045408495246,0.8671097942893664,0.8672525018276842,0.8672397024514047,-9.161712650741332e-06,,0.7676609561082435,0.8672397024514064,1.0,0.9999818268482141,0.99997535678055,0.9999694261446682,-0.06368661573666409,-0.0045105543203104665,-0.008908088437243876
btc_high,0.8676281414924275,0.8673687093113039,0.8674728436237847,0.8674949827739741,0.001839268095122936,,0.7680768241223311,0.8674949827739717,0.9999818268482141,1.0,0.9999599687147998,0.9999822825655311,-0.0614069517226128,-0.0023104839557818056,-0.006109855274205504
btc_low,0.8671475229846586,0.8667939645336195,0.8669332734405126,0.8669640486629401,-0.002716974672570702,,0.7671504435902163,0.866964048662933,0.99997535678055,0.9999599687147998,1.0,0.9999799361488692,-0.06661592168917005,-0.0018885504849568413,-0.005738486767535971
btc_close,0.8673874785296924,0.8670821743711619,0.86719098038349,0.867249891882012,-0.00040859089652631663,,0.7676334928906793,0.8672498918820122,0.9999694261446682,0.9999822825655311,0.9999799361488692,1.0,-0.06388691534443783,-0.00010838917057801262,-0.0034249960864726836
btc_volume,-0.0019973192805440598,0.004551810639252162,0.0019209996238927487,0.0014310393715755182,0.7573611848315215,,0.12045670089491671,0.001431039371575173,-0.06368661573666409,-0.0614069517226128,-0.06661592168917005,-0.06388691534443783,1.0,-0.04709365092936706,-0.03873544385892036
eth_return,-0.0037615669441155635,-0.004328563774236553,-0.008537205107491355,-0.0003084277200920799,-0.018921882905249425,,-0.004750751970565002,-0.0003084277200920992,-0.0045105543203104665,-0.0023104839557818056,-0.0018885504849568413,-0.00010838917057801262,-0.04709365092936706,1.0,0.7143644130420572
btc_return,-0.008938303382107621,-0.009843356903678222,-0.013182952643716236,-0.00621713641519008,-0.05558852607197851,,-0.011329336537875831,-0.006217136415189997,-0.008908088437243876,-0.006109855274205504,-0.005738486767535971,-0.0034249960864726836,-0.03873544385892036,0.7143644130420572,1.0
